"","lon","lat","NAME","type","inmates"
"239",-99.8295626,29.3024654,"Uvalde CCD","local_jail",27
"240",-96.2387129,29.9869813,"Bellville CCD","local_jail",26
"241",-98.147865,31.1199362,"Lampasas CCD","local_jail",26
"242",-102.8116725,34.4465616,"Farwell-Bovina CCD","local_jail",26
"243",-100.4177003,29.3470865,"Brackettville CCD","fed_pris",25
"244",-98.2313813,33.803534,"Henrietta CCD","local_jail",25
"245",-95.724355,32.8567125,"Emory CCD","local_jail",25
"246",-97.2237794,28.4396119,"Refugio CCD","local_jail",25
"247",-98.6640723,31.9168827,"Comanche CCD","local_jail",23
"248",-100.851471,32.4152718,"Colorado City CCD","local_jail",21
"249",-102.4605273,31.2851023,"Crane South CCD","local_jail",20
"250",-96.8900498,29.9799843,"La Grange CCD","local_jail",20
"251",-102.7246614,32.6898202,"Seminole CCD","local_jail",20
"252",-99.3246938,31.0541441,"Brady CCD","local_jail",19
"253",-100.6921894,36.2592751,"Perryton East CCD","local_jail",18
"254",-98.1319236,31.6471293,"Hamilton CCD","local_jail",17
"255",-99.915145,32.7592582,"Anson CCD","local_jail",17
"256",-98.8234128,32.8477997,"Breckenridge North CCD","local_jail",17
"257",-98.2431204,27.218891,"Falfurrias CCD","local_jail",16
"258",-98.7512449,27.2399266,"North Jim Hogg CCD","local_jail",16
"259",-101.7536489,34.5542087,"Tulia CCD","local_jail",16
"260",-102.2579754,34.6282253,"Dimmitt CCD","local_jail",14
"261",-99.7818375,33.6498175,"Benjamin CCD","local_jail",11
"262",-98.5853305,33.524651,"Archer City CCD","local_jail",10
"263",-104.8189471,31.0812687,"Van Horn CCD","local_jail",10
"264",-100.3982035,32.6420058,"Roby CCD","local_jail",10
"265",-99.5643179,30.4206358,"Junction Southeast CCD","local_jail",10
"266",-100.6768231,30.6272311,"Sonora CCD","local_jail",10
"267",-100.871964,34.9790497,"Clarendon CCD","local_jail",9
"268",-101.1801165,33.6345663,"Crosbyton CCD","local_jail",8
"269",-99.0735686,28.4216126,"Cotulla CCD","local_jail",8
"270",-98.7854292,31.0693309,"San Saba CCD","local_jail",8
"271",-95.2651951,29.3504557,"Alvin-Pearland CCD","local_jail",7
"272",-100.284128,34.8708675,"Wellington CCD","local_jail",7
"273",-96.7514645,31.2436526,"Reagan CCD","local_jail",7
"274",-101.805721,32.2052714,"Stanton CCD","local_jail",7
"275",-101.4606596,35.4058127,"Panhandle CCD","local_jail",6
"276",-98.9421064,30.3263898,"Fredericksburg CCD","local_jail",6
"277",-100.5154557,34.6912741,"Memphis CCD","local_jail",6
"278",-99.7346331,34.2633663,"Quanah CCD","local_jail",6
"279",-99.2836099,32.3876139,"Baird CCD","local_jail",5
"280",-100.7672551,33.6747923,"Dickens CCD","local_jail",5
"281",-100.106279,30.2021285,"Rocksprings North CCD","local_jail",5
"282",-99.9472586,30.8948247,"Menard West CCD","local_jail",5
"283",-102.875892,33.632375,"Morton CCD","local_jail",4
"284",-100.4637305,35.9436696,"Canadian North CCD","local_jail",4
"285",-100.2609397,36.1552702,"Higgins CCD","local_jail",4
"286",-98.5967752,31.3828506,"Goldthwaite CCD","local_jail",4
"287",-95.2867872,29.0037045,"Brazosport CCD","local_jail",3
"288",-101.2459948,36.1748546,"Spearman CCD","local_jail",3
"289",-99.0947687,30.7740574,"Mason East CCD","local_jail",3
"290",-102.0560684,36.2828371,"Stratford CCD","local_jail",3
"291",-100.2470735,35.465224,"Wheeler CCD","local_jail",3
"292",-98.3963962,30.3348318,"Johnson City CCD","local_jail",2
"293",-101.3011483,35.7197827,"Borger CCD","local_jail",2
"294",-102.407528,35.4410664,"Vega CCD","local_jail",2
"295",-95.1696552,31.0555198,"Groveton CCD","local_jail",2
"296",-97.9609816,28.8454832,"Karnes City CCD","local_jail",1
"297",-96.1871057,28.6605822,"Palacios CCD","local_jail",1
"298",-97.1972489,27.8843078,"Aransas Pass-Ingleside CCD","local_jail",1
"299",-94.9908238,32.7166515,"Gilmer CCD","local_jail",1
"300",-95.9771016,29.8484628,"Brookshire CCD","local_jail",1
